Наименование;Адрес;Описание;Бренд;Сезон;Цена;Наличие
Роликовые коньки K2 MARLEE BOA;/goods/51525/1495502.html;Роликовые коньки тщательно продуманы, обладают быстрой системой шнуровки BOA, раздвигаются на пять размеров, и обладают всеми необходимыми техническими…;Бренд: K2;Сезон: 2020;14 640 ₽;в наличии 									в магазине									
Роликовые коньки K2 RAIDER BOA;/goods/51525/1495498.html;Роликовые коньки тщательно продуманы, обладают быстрой системой шнуровки BOA, раздвигаются на пять размеров, и обладают всеми необходимыми техническими…;Бренд: K2;Сезон: 2020;14 640 ₽;в наличии 									в магазине									
Роликовые коньки Bladerunner PHASER FLASH G;/goods/51525/1497094.html;Популярные детские коньки. Легкие, удобные ролики раздвигаются на четыре полных размера, обладают хорошей боковой поддержкой и также демократичной ценой. А…;Бренд: Bladerunner;Сезон: 2020;7 920 ₽;в наличии 									в магазине									
Роликовые коньки Bladerunner PHASER;/goods/51525/1497082.html;Популярные детские коньки. Легкие, удобные ролики раздвигаются на четыре полных размера, обладают хорошей боковой поддержкой, а также демократичной ценой.;Бренд: Bladerunner;Сезон: 2020;4 560 ₽;в наличии 									в магазине									
Роликовые коньки K2 F.I.T. 84 PRO;/goods/51525/1495561.html;Эта модель роликов предназначена для длительных фитнес-прогулок. Благодаря алюминиевой раме увеличен запас жесткости и точность передачи усилия. Повышенный…;Бренд: K2;Сезон: 2020;21 920 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade COMBO G;/goods/51525/1493902.html;Удобные, хорошо поддерживающие ногу раздвижные коньки с современным дизайном и превосходными техническими характеристиками. Отличный подарок любому ребенку!…;Бренд: Rollerblade;Сезон: 2020;12 320 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade MICROBLADE ALU 3WD;/goods/51525/1493855.html;Новая модель, переосмысление классических Spitfire. Новая алюминиевая база с возможностью установки трех и четырех колес, навеянная самыми последними трендами…;Бренд: Rollerblade;Сезон: 2020;16 640 ₽;в наличии 									в магазине									
Роликовые коньки K2 F.I.T. 80 PRO;/goods/51525/1495512.html;F.I.T. 80 PRO оснащен вибропоглощающей рамой Tec Composite, которая поглощает вибрацию дороги для плавного катания. Объедините это с надежной фиксацией,…;Бренд: K2;Сезон: 2020;15 840 ₽;в наличии 									в магазине									
Роликовые коньки Bladerunner PHASER FLASH;/goods/51525/1497090.html;Популярные детские коньки. Легкие, удобные ролики раздвигаются на четыре полных размера, обладают хорошей боковой поддержкой и также демократичной ценой. А…;Бренд: Bladerunner;Сезон: 2020;7 920 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade SPARK 84;/goods/51525/1497041.html;Комфортная, надежная модель с отличными техническими характеристиками для роллеров со средним уровнем подготовки.;Бренд: Rollerblade;Сезон: 2020;15 840 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade CUBE;/goods/51525/1493884.html;Удобные, хорошо поддерживающие ногу раздвижные коньки с современным дизайном и превосходными техническими характеристиками. Отличный подарок любому ребенку!…;Бренд: Rollerblade;Сезон: 2020;14 560 ₽;в наличии 									в магазине									
Роликовые коньки Bladerunner PHASER G;/goods/51525/1497086.html;Популярные детские коньки. Легкие, удобные ролики раздвигаются на четыре полных размера, обладают хорошей боковой поддержкой, а также демократичной ценой.;Бренд: Bladerunner;Сезон: 2020;4 560 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade RB CRUISER;/goods/51525/1496989.html;Фристайл-модель начального уровня с передовыми технологиями от RB и доступной ценой.;Бренд: Rollerblade;Сезон: 2020;17 920 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade SPARK 80 W;/goods/51525/1497032.html;Комфортные, надежные, простые в использовании роликовые коньки для начинающих и совершенствующихся роллеров.;Бренд: Rollerblade;Сезон: 2020;14 319 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade ZETRABLADE W;/goods/51525/1413553.html;Комфортные и надежные ролики для начинающих.;Бренд: Rollerblade;Сезон: 2019;10 640 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade TWISTER XT;/goods/51525/2733618.html;Легендарная серия Twister от Rollerblade продолжает радовать своих поклонников. Twister XT - оплот самых современных технологий и трендов. Традиционно жёсткий…;Бренд: Rollerblade;Сезон: 2023;42 300 ₽;в наличии в других городах
Роликовые коньки Bladerunner PHOENIX;/goods/51525/2733627.html;Комфортные, надёжные детские ролики по демократичной цене. Обладают хорошей боковой поддержкой и стильным дизайном. Раздвигаются на 4 полных размера.;Бренд: Bladerunner;Сезон: 2023;12 870 ₽;в наличии в других городах
Роликовые коньки Rollerblade MACROBLADE 84 BOA W;/goods/51525/2733579.html;Macroblade 84 BOA W сочетает в себе комфорт и производительность Rollerblade. Система BOA Fit обеспечивает микрорегулируемую точную посадку, которую можно…;Бренд: Rollerblade;Сезон: 2023;34 020 ₽;в наличии в других городах
Роликовые коньки Rollerblade RB PRO X;/goods/51525/2733612.html;"RB PRO X - удобные надёжные ролики для фрискейта. Их главные отличия от «младшего брата"", RB Cruiser - это усовершенствованный внутренник High Performance,…";Бренд: Rollerblade;Сезон: 2023;31 230 ₽;в наличии в других городах
Роликовые коньки Rollerblade MACROBLADE 84 BOA;/goods/51525/2733572.html;Macroblade 84 BOA сочетает в себе комфорт и производительность Rollerblade. Система BOA Fit обеспечивает микрорегулируемую точную посадку, которую можно…;Бренд: Rollerblade;Сезон: 2023;34 020 ₽;в наличии в других городах
Роликовые коньки Bladerunner PHOENIX G;/goods/51525/2733631.html;Комфортные, надёжные детские ролики по демократичной цене. Обладают хорошей боковой поддержкой и стильным дизайном. Раздвигаются на 4 полных размера.;Бренд: Bladerunner;Сезон: 2023;12 870 ₽;в наличии в других городах
Роликовые коньки K2 F.I.T. 84 BOA;/goods/51525/2547124.html;Эта модель предназначена для опытных роллеров, ищущих комфортные ролики для быстрого катания. Оснащены системой застежки BOA, которая позволяет идеально…;Бренд: K2;Сезон: 2022;44 980 ₽;в наличии в других городах
Роликовые коньки K2 ALEXIS 84 BOA;/goods/51525/2547131.html;Эта модель предназначена для опытных роллеров, ищущих комфортные ролики для быстрого катания. Оснащены системой застежки BOA, которая позволяет идеально…;Бренд: K2;Сезон: 2022;44 980 ₽;в наличии в других городах
Роликовые коньки K2 ALEXIS 80 BOA;/goods/51525/2547114.html;ALEXIS 80 BOA оснащен вибропоглощающей рамой Tec Composite, которая поглощает вибрацию дороги для плавного катания. Система BOA Fit дает возможность легко…;Бренд: K2;Сезон: 2022;36 009 ₽;в наличии в других городах
